customer_id,customer_name,gender,city,membership
1,Nidra Chaudhary,Female,Delhi,Silver
2,Kashvi Chana,Male,Ludhiana,Regular
3,Krish Nori,Female,Jaipur,Gold
4,Alexander Seshadri,Female,Pune,Regular
5,Azad Sathe,Female,Ludhiana,Gold
6,Owen Pant,Female,Amritsar ,Regular
7,Oscar Soman,Male,Amritsar ,Gold
8,Netra Rajagopalan,Female,Pune,Silver
9,Yasti Grover,Female,Amritsar ,Premium
10,Ekani Kuruvilla,Female,Delhi,Regular
11,Nakul Mane,Female,Amritsar ,Gold
12,Indrajit Bajwa,Male,Chandigarh,Regular
13,Charles Tank,Female,Jaipur,Silver
14,Nathan Chaudhary,Male,Mumbai,Premium
15,Upadhriti Naidu,Female,Delhi,Regular
16,Anika Bath,Male,Amritsar ,Silver
17,Aadhya Khatri,Male,Mumbai,Regular
18,Oscar Mander,Female,Mumbai,Silver
19,Chavvi Varty,Female,Amritsar ,Premium
20,Faraj Gaba,Male,Chandigarh,Premium
21,Nihal Bhakta,Female,Delhi,Gold
22,Fariq Karnik,Male,Mumbai,Regular
23,Lipika Thakur,Female,Mumbai,Gold
24,Amol Biswas,Female,Banglore,Gold
25,Radhika Narula,Male,Delhi,Premium
26,Nisha Mander,Female,Jaipur,Gold
27,Anirudh Atwal,Female,Chandigarh,Silver
28,Kai Bhakta,Female,Banglore,Silver
29,Yachana Tak,Male,Pune,Premium
30,Pushti Kaur,Male,Delhi,Gold
31,Manan Chahal,Female,Jaipur,Premium
32,Vasudha Kothari,Male,Jaipur,Premium
33,Timothy Narula,Male,Mumbai,Silver
34,Warhi Kadakia,Male,Ludhiana,Gold
35,Charvi Shanker,Male,Chandigarh,Regular
36,Ronith Mangat,Male,Amritsar ,Regular
37,Gautami Varghese,Female,Banglore,Regular
38,Simon Narula,Male,Banglore,Regular
39,Aishani Barad,Male,Chandigarh,Gold
40,Yagnesh Golla,Male,Chandigarh,Gold
41,Rehaan Wali,Female,Pune,Premium
42,Divya Mammen,Female,Chandigarh,Premium
43,Balendra Baral,Male,Jaipur,Regular
44,Chakradhar Boase,Male,Ludhiana,Silver
45,Janya Khosla,Female,Delhi,Premium
46,Tara Keer,Male,Chandigarh,Gold
47,Vasana Goda,Female,Amritsar ,Premium
48,Manya Varughese,Female,Banglore,Gold
49,Nimrat Nazareth,Male,Mumbai,Silver
50,Elijah Wali,Female,Pune,Silver
51,Dhriti Keer,Female,Banglore,Premium
52,Nathan Sankaran,Male,Ludhiana,Silver
53,Azad Hora,Male,Amritsar ,Regular
54,Ekavir Bhatti,Male,Pune,Silver
55,Lajita Halder,Female,Banglore,Silver
56,Agastya Dar,Female,Banglore,Gold
57,Anita Hora,Male,Ludhiana,Silver
58,Kiaan Bandi,Male,Banglore,Gold
59,Lohit Boase,Female,Mumbai,Regular
60,Harsh Buch,Male,Jaipur,Regular
